fish_key,fish_label,n_years,corr_qty,corr_amt,corr_price
あんこう,あんこう,20,0.975,0.968,0.873
うるめいわし,うるめいわし,20,0.504,0.957,0.241
かたくちいわし,かたくちいわし,20,0.248,0.249,-0.123
かつお,かつお,20,-0.257,0.136,0.662
かながしら,かながしら,20,0.879,0.907,0.661
さけ,さけ,20,0.268,-0.21,0.925
さより,さより,20,0.93,0.921,0.581
さわら,さわら,20,0.668,0.574,0.548
しいら,しいら,20,0.475,0.582,0.763
すずき,すずき,20,0.015,0.428,0.01
するめいか,するめいか,20,0.111,-0.652,0.977
たちうお,たちうお,20,0.599,0.408,0.618
にぎす,にぎす,20,0.752,0.821,0.852
はたはた,はたはた,20,0.916,0.864,0.944
ひらまさ,ひらまさ,20,0.36,0.209,0.602
ひらめ,ひらめ,20,0.748,0.803,0.591
ぶり,ぶり,20,0.568,0.149,0.894
ほうぼう,ほうぼう,20,0.268,0.628,0.946
まあじ,まあじ,20,0.918,0.878,0.848
まいわし,まいわし,20,0.341,0.309,0.418
まだら,まだら,20,0.328,0.242,0.195
めだい,めだい,19,0.887,0.836,0.853
やりいか,やりいか,19,0.235,-0.176,0.829
わかめ,わかめ,20,0.023,0.287,0.464
