fish_key,fish_label,latest_year,latest_qty,latest_amt,latest_price,yoy_price,yoy_qty,rank_amt
あおりいか,あおりいか,2024,25264,53035866,2099.2663869537682,,,98.0
あかいか,あかいか,2024,176030,379612949,2156.5241663352836,0.06627630901986548,0.09939730818474213,35.0
あからばちめ,あからばちめ,2024,70716,56210375,794.8749222241076,-0.026758330643825268,-0.32495847572500425,96.0
あさり,あさり,2024,88269,74412964,843.02488982542,-0.038003990171679436,-0.3973495917196931,90.0
あなご,あなご,2024,48617,125629107,2584.057161075344,0.17125387723561425,-0.06222633721042381,71.0
あまえび,あまえび,2024,398532,908644776,2279.979464635211,0.17177545385772075,-0.16473603796006564,16.0
あゆ,あゆ,2024,61325,132479239,2160.2811088463104,0.08645336393651637,-0.13173059224964245,70.0
あら,あら,2024,16314,74910825,4591.812247149687,0.4191783147008208,-0.5979099401079535,89.0
あわび,あわび,2024,27710,170862892,6166.109418982317,-0.011382068999236772,-0.25795999250194146,61.0
あんこう,あんこう,2024,28465,23270447,817.5108730019322,0.17796884924146705,-0.3400032460757263,120.0
いくら,いくら,2024,104872,807232321,7697.31025440537,0.0019233459386900353,0.17098225750622498,18.0
うなぎ,うなぎ,2024,160555,677491092,4219.682302014886,0.037645994559360574,0.009837034800711963,24.0
うに,うに,2024,29020,788504855,27171.083907649896,0.08533826524440014,-0.11975248726037369,19.0
うに製品,うに製品,2024,6110,9162105,1499.526186579378,-0.16141761424409184,-0.09561870929544114,135.0
うるめいわし,うるめいわし,2024,11541,4245383,367.8522658348497,0.35234078607567776,0.08928739971684752,145.0
かいみぬき,かいみぬき,2024,2542,9462776,3722.571203776554,0.27110970702893056,-0.37802789332028386,134.0
かき,かき,2024,219468,382492123,1742.8150026427543,0.1764324988882986,-0.23288150048585432,34.0
かす漬たら,かす漬たら,2024,245,626672,2557.8448979591835,-0.09605948229568884,-0.4457013574660633,158.0
かす漬ふぐ,かす漬ふぐ,2024,6,16200,2700.0,0.020408163265306145,-0.4,166.0
かたくちいわし,かたくちいわし,2024,184,27486,149.3804347826087,0.38315217391304346,19.444444444444443,163.0
かつお,かつお,2024,120493,119468513,991.4975392761405,-0.027469060809226176,0.04649122807017547,73.0
かながしら,かながしら,2024,2128,509140,239.25751879699249,0.36184178679562984,-0.5507705298712264,159.0
かます,かます,2024,81239,76248170,938.5660827927474,0.05547056366460268,-0.069000687600275,88.0
かまぼこ,かまぼこ,2024,37678,29795019,790.7802696533786,-0.20965008631028548,0.1542797622694687,116.0
かれい,かれい,2024,720196,399690651,554.9748276857966,0.054376682418059374,-0.1589855454946738,33.0
かわはぎ,かわはぎ,2024,140163,158401211,1130.1214371838503,0.07813341724170475,0.023162274618585332,64.0
かんぱち,かんぱち,2024,25294,32227264,1274.1070609630742,0.13645936150142113,-0.3249713111472873,111.0
きす,きす,2024,2536,6981057,2752.7827287066248,-0.06829802478075386,0.047068538398018056,141.0
こうばこがに,こうばこがに,2024,357328,693973569,1942.1191986074418,-0.22466790085724753,0.09496624654881303,23.0
このわた,このわた,2024,340,11058498,32524.99411764706,-0.0016715454639033567,-0.1866028708133971,133.0
こんぶ,こんぶ,2024,12569,20254857,1611.4931179887024,0.03303914639160843,-0.01450525325388119,123.0
さけ,さけ,2024,479031,906490837,1892.3427439977788,0.05376952403402968,-0.10998829496683571,17.0
さば,さば,2024,673220,267220226,396.92853153501085,0.12459384674572793,-0.2792779290240458,49.0
さめ,さめ,2024,348,215147,618.2385057471264,0.013275800375911029,-0.28099173553719003,160.0
さより,さより,2024,9574,21187763,2213.0523292249845,0.10538950864689922,-0.5098551169815184,122.0
さわら,さわら,2024,125710,148364918,1180.2157187176836,-0.036492830719461744,-0.28708345620760833,67.0
さんま,さんま,2024,256485,265154088,1033.7995906193344,-0.1398553970870503,0.8843672857646645,50.0
しいら,しいら,2024,13452,2664064,198.04222420457924,0.021155555592988096,-0.6403112382684029,151.0
しおから,しおから,2024,43325,52050877,1201.4051240623196,-0.12252910688505847,0.062199666568598655,100.0
しじみ,しじみ,2024,196604,137850813,701.1597576854998,-0.015181330517553548,-0.024234814156744555,68.0
しらうお,しらうお,2024,491,2092986,4262.700610997963,0.6252596883166257,-0.7496175420703722,153.0
しらこ,しらこ,2024,139908,271653309,1941.6567244189039,0.20284091782212954,-0.12501172629880486,48.0
すき身,すき身,2024,8974,15816081,1762.4338087809226,0.07141422650611129,-0.14033911294185264,128.0
すけこ,すけこ,2024,288047,568636864,1974.111391543741,-0.00915965714999245,-0.134518368953509,26.0
すけそうだら,すけそうだら,2024,67409,23689832,351.4342595202421,-0.05110340671988489,-0.3029563526942207,119.0
すじこ,すじこ,2024,25142,99755020,3967.6644658340624,0.09076665272199747,1.0787102108309217,81.0
すずき,すずき,2024,125386,134554629,1073.1232274735617,0.06037152538514201,-0.12601679852228764,69.0
すだこ,すだこ,2024,25066,74388345,2967.6990744434693,-0.06876443745503613,0.13616172604478294,91.0
するめいか,するめいか,2024,321349,350339807,1090.2159552386968,0.018000560795001785,-0.07028370394801553,40.0
ずわいがに,ずわいがに,2024,263614,994672482,3773.2156941588837,-0.3548686568012086,0.2182693729665779,14.0
その他あじ,その他あじ,2024,26393,54190981,2053.233092107756,0.33342147646202536,-0.22564839807534331,97.0
その他いか,その他いか,2024,119733,155191337,1296.1450644350346,-0.24435393487159718,-0.1853567929457871,66.0
その他えび,その他えび,2024,95762,312763520,3266.0504166579644,-0.02978311108355447,-0.11891135932870844,45.0
その他かい,その他かい,2024,214458,333896757,1556.9330917941975,0.11860852949712375,-0.17260616442319932,43.0
その他かに,その他かに,2024,203634,966186142,4744.719162811712,-0.12964956226704505,0.11955709007741033,15.0
その他冷凍魚,その他　冷凍魚,2024,936457,1296257310,1384.2144487146768,0.06020458870531953,-0.08461068508281888,8.0
その他塩干加工品,その他塩干加工品,2024,1781975,1895085414,1063.4747479622329,-0.1124187207730476,-0.018538968460070415,5.0
その他桜干,その他桜干,2024,149284,202303514,1355.1587176120684,0.014409309184938213,0.08176027709944123,57.0
その他淡水魚,その他淡水魚,2024,1748,2924504,1673.0572082379863,0.3593412383881689,-0.48799062683069716,147.0
その他魚介漬物,その他魚介漬物,2024,169788,222859316,1312.57400994181,0.04404513712117075,0.00513852711342655,55.0
その他鮮魚,その他鮮魚,2024,528343,1097257847,2076.790734428203,-0.3430733471367229,-0.40634617437372544,12.0
たい,たい,2024,688539,781236564,1134.6293586855647,0.05201076480704847,-0.1430411665430359,20.0
たいはくちりめん,たいはくちりめん,2024,177736,366711727,2063.2383253814646,0.013361115629218379,-0.050413523390250625,37.0
たこ,たこ,2024,238799,532959367,2231.832490923329,0.08305924136693132,0.014516827964755175,31.0
たちうお,たちうお,2024,27627,51588721,1867.3298222753103,0.033365669007227705,0.26869030124908155,101.0
たづくり,たづくり,2024,1064,2725845,2561.8843984962405,-0.034925004116400316,-0.24752475247524752,149.0
ちくわ,ちくわ,2024,17166,12075010,703.4259582896423,-0.08927522802637167,-0.39381312239564936,132.0
つばす,つばす,2024,48499,18914988,390.0077939751335,0.4744965023050711,-0.3287893046944198,126.0
とびうお,とびうお,2024,39427,12658443,321.06026327136226,-0.06969040859556119,0.9408782120704933,130.0
どじょう,どじょう,2024,10980,31534325,2871.978597449909,-0.024332804688779186,-0.07388663967611331,113.0
なまこ,なまこ,2024,16717,35990447,2152.9249865406473,-0.17132374445343646,-0.18513282963685107,108.0
にぎす,にぎす,2024,257141,116238411,452.0415297443815,0.14143170811053607,0.01125137643542562,75.0
にしん,にしん,2024,22439,8609149,383.66901377066716,-0.10395856350813881,0.6362111710660638,137.0
ぬか漬いわし,ぬか漬いわし,2024,14,19332,1380.857142857143,0.02285714285714291,1.3333333333333335,165.0
ぬか漬ふぐ,ぬか漬ふぐ,2024,20,49788,2489.4,0.04508816120906811,0.11111111111111116,162.0
のどぐろ,のどぐろ,2024,252716,1826065402,7225.760941135504,,,6.0
はたはた,はたはた,2024,217926,172747064,792.6868019419436,-0.17067801277267436,2.286522191557707,60.0
はまぐり,はまぐり,2024,110102,157771387,1432.9565947939184,-0.029259218635146467,-0.10334549482050948,65.0
はまち,はまち,2024,857550,371401160,433.09563290770217,0.042137286703582966,-0.2360383571016228,36.0
はむそーせーじ,ハムソーセージ,2024,1023,1865471,1823.5298142717497,0.24779802308565202,-0.24278312361213916,154.0
ばいがい,ばいがい,2024,412378,564356524,1368.5417844792885,0.09837569954197756,-0.06568638557219564,27.0
ひらまさ,ひらまさ,2024,58205,39591077,680.200618503565,-0.2546991993663795,0.6252478150392315,106.0
ひらめ,ひらめ,2024,253479,552256895,2178.708670146245,0.023039595640112376,0.005079342421430821,29.0
ふぐ,ふぐ,2024,102286,112980758,1104.5573978843634,-0.022477692510145197,0.053506504207393,77.0
ぶり,ぶり,2024,1222110,1034947548,846.8530230502982,0.09562005305437382,-0.28892770407159885,13.0
べにずわいがに,べにずわいがに,2024,602647,337919693,560.7257532187167,0.060788168234025886,0.04876936704587176,41.0
ほうぼう,ほうぼう,2024,28644,34260682,1196.0858120374248,0.007371839914661837,0.5037009816788283,109.0
ほたて,ほたて,2024,117793,251019111,2131.0189145365175,0.0904648782668318,-0.09919396775871037,51.0
ぼうたら,ぼうたら,2024,2846,14506668,5097.212930428672,0.014327730107941417,-0.002803083391730854,129.0
ぼら,ぼら,2024,4288,12543461,2925.2474347014927,-0.5655710176292563,2.668092386655261,131.0
まあじ,まあじ,2024,582569,441536758,757.9132394617633,0.054219894826841086,-0.2709184088505654,32.0
まいわし,まいわし,2024,324180,170128314,524.7958356468629,0.11371041169281315,-0.3363440578452166,62.0
まかじき,まかじき,2024,252634,336746607,1332.942545342274,-0.007448897559797496,0.04043390880337383,42.0
まぐろ,まぐろ,2024,668697,2261270457,3381.6070013773056,-0.02635340493139171,-0.017465882242309494,3.0
まこ,まこ,2024,136098,100249726,736.5995532630899,0.14599305200766177,-0.11118512568327421,80.0
ます,ます,2024,14465,19078244,1318.9245765641203,-0.2142674632700291,-0.22746208075197605,125.0
まだら,まだら,2024,1147971,697670489,607.7422591685679,-0.09056388391543635,0.11127449367002828,22.0
みそ漬品,みそ漬品,2024,4032,9157339,2271.1654265873017,0.4434183769845337,-0.41052631578947374,136.0
めじ,めじ,2024,39777,52358872,1316.3102295296276,-0.09261693123754233,-0.4656071150280786,99.0
めだい,めだい,2024,61330,94819943,1546.061356595467,-0.04343141701214648,0.28828298953913367,84.0
もずく,もずく,2024,72216,62286913,862.508488423618,0.08234624830807746,0.04916317991631791,92.0
やなぎばちめ,やなぎばちめ,2024,65955,117326550,1778.8878780987036,0.31849420910472626,-0.6334815226451792,74.0
やりいか,やりいか,2024,279767,304108725,1087.0071345083588,0.04191054424139873,-0.043027782148549965,46.0
わかさぎ,わかさぎ,2024,6182,7771495,1257.1166289226787,0.08119204500219834,-0.1921066387872452,138.0
わかめ,わかめ,2024,87622,59994016,684.6912419255439,0.1036737613555192,-0.01440896257719082,94.0
わらさ,わらさ,2024,464844,233787245,502.9369960674979,0.16112000444159014,-0.595190115492266,53.0
丸干いか,丸干いか,2024,9259,31443871,3396.033156928394,0.042458859155917406,-0.18787825629330757,114.0
丸干いわし,丸干いわし,2024,72038,60394763,838.3736777811711,0.05580794904744857,-0.1424149712503423,93.0
冷凍あかうお,冷凍あかうお,2024,142532,121466538,852.2053854573008,0.06104211849880681,-0.2201522139969032,72.0
冷凍あじ,冷凍あじ,2024,147696,97675085,661.325188224461,0.017255879272169983,-0.07434867353142094,82.0
冷凍うなぎ,冷凍うなぎ,2024,139289,535045661,3841.2628491840705,-0.07659130456011098,-0.07095453120518658,30.0
冷凍えび,冷凍えび,2024,2790171,4146606420,1486.1477737385987,-0.08113178952194178,0.06898106678538407,1.0
冷凍おひょう,冷凍おひょう,2024,1046,6659712,6366.837476099427,-0.25934834791968964,1.1611570247933884,142.0
冷凍かい,冷凍かい,2024,954788,2196247177,2300.2458943765528,0.1190269340757717,0.6375270766481382,4.0
冷凍かじき,冷凍かじき,2024,327143,361785423,1105.8938231904701,0.00728459657702496,-0.04303299069193278,38.0
冷凍かに,冷凍かに,2024,733980,2318382948,3158.6459413063026,0.050967579725061274,0.6585357035523911,2.0
冷凍かれい,冷凍かれい,2024,177152,180324933,1017.9107941203034,0.05676306186600466,-0.38221826995170094,59.0
冷凍ぎんだら,冷凍ぎんだら,2024,141344,214924423,1520.5769116481774,-0.04598352224687541,0.3520695625556012,56.0
