fish_key,fish_label,year,category,qty,amt,price
あからばちめ,あからばちめ,2000,鮮魚,479194,272798758,569.2866730384771
あさり,あさり,2000,鮮魚,943656,327745336,347.31441966140204
あなご,あなご,2000,鮮魚,104918,90757976,865.0372290741341
あまえび,あまえび,2000,鮮魚,604482,1080804660,1787.984853146992
あゆ,あゆ,2000,鮮魚,335748,393623463,1172.3776850495015
あら,あら,2000,鮮魚,57956,135674392,2340.98957830078
あわび,あわび,2000,鮮魚,64634,470522199,7279.7939010427945
あんこう,あんこう,2000,鮮魚,113358,105265899,928.6146456359498
いくら,いくら,2000,塩干,255747,1334368434,5217.533085432087
うなぎ,うなぎ,2000,鮮魚,275297,319550570,1160.748464385736
うに,うに,2000,鮮魚,100368,749354896,7466.073808385143
うに製品,うに製品,2000,塩干,24824,32236863,1298.61678214631
うるめいわし,うるめいわし,2000,鮮魚,38983,6464644,165.83238847702845
かいみぬき,かいみぬき,2000,鮮魚,27611,59695112,2162.0047082684437
かき,かき,2000,鮮魚,399926,336741509,842.0095442656891
かす漬たら,かす漬たら,2000,塩干,17602,6686152,379.85183501874786
かす漬ふぐ,かす漬ふぐ,2000,塩干,141,146596,1039.6879432624114
かたくちいわし,かたくちいわし,2000,鮮魚,54640,8718747,159.56711200585653
かつお,かつお,2000,鮮魚,285003,108580842,380.9814001957874
かながしら,かながしら,2000,鮮魚,23880,7651761,320.4255025125628
かます,かます,2000,鮮魚,295307,157518675,533.4065057719594
かまぼこ,かまぼこ,2000,塩干,177492,129948900,732.1394767088094
かれい,かれい,2000,鮮魚,1465959,945626336,645.056468837123
かわはぎ,かわはぎ,2000,鮮魚,595643,313517933,526.3520816999444
かんぱち,かんぱち,2000,鮮魚,524530,750890332,1431.548876136732
きす,きす,2000,鮮魚,48988,56862560,1160.7446721646118
こうばこがに,こうばこがに,2000,鮮魚,319694,660977863,2067.5329002108265
このわた,このわた,2000,鮮魚,3736,33901616,9074.30835117773
こんぶ,こんぶ,2000,塩干,21659,22340198,1031.451036520615
さけ,さけ,2000,鮮魚,1057488,717628087,678.6158206996203
さば,さば,2000,鮮魚,1848390,685336621,370.7749019416898
さめ,さめ,2000,鮮魚,2795,654621,234.21144901610018
さより,さより,2000,鮮魚,66589,88156356,1323.8876691345417
さわら,さわら,2000,鮮魚,97184,67031535,689.7383828613764
さんま,さんま,2000,鮮魚,793079,445733048,562.0285595760322
しいら,しいら,2000,鮮魚,93396,12735428,136.35945864919267
しおから,しおから,2000,塩干,110578,104911387,948.7546076072998
しじみ,しじみ,2000,鮮魚,292337,165122577,564.8363942983611
しらうお,しらうお,2000,鮮魚,3122,7756509,2484.4679692504806
しらこ,しらこ,2000,鮮魚,93050,143783021,1545.2232240730789
すき身,すき身,2000,塩干,84684,64253872,758.7486656275094
すけこ,すけこ,2000,塩干,505276,1177881037,2331.1636353201025
すけそうだら,すけそうだら,2000,鮮魚,392466,202837879,516.8291750113385
すじこ,すじこ,2000,塩干,86121,181137171,2103.2868986658304
すずき,すずき,2000,鮮魚,162561,133387805,820.5400126721661
すだこ,すだこ,2000,塩干,97116,148981548,1534.0577041888052
するめいか,するめいか,2000,鮮魚,1698022,501014366,295.057641184861
ずわいがに,ずわいがに,2000,鮮魚,1984148,2434715400,1227.0835643308867
その他あじ,その他あじ,2000,鮮魚,80953,76268612,942.1344730893235
その他いか,その他いか,2000,鮮魚,1175476,1102873805,938.2359188958345
その他えび,その他えび,2000,鮮魚,219352,521420531,2377.094947846384
その他かい,その他かい,2000,鮮魚,1115083,1066832434,956.7291708330232
その他かに,その他かに,2000,鮮魚,719734,1238346457,1720.5612865308572
その他冷凍魚,その他　冷凍魚,2000,冷凍魚,6614885,1902648128,287.6313235982183
その他塩干加工品,その他塩干加工品,2000,塩干,2202436,1788614962,812.1075763382
その他桜干,その他桜干,2000,塩干,450125,351010456,779.806622604832
その他淡水魚,その他淡水魚,2000,鮮魚,79665,112095524,1407.0862235611623
その他魚介漬物,その他魚介漬物,2000,塩干,254189,211287634,831.2225706069106
その他鮮魚,その他鮮魚,2000,鮮魚,616515,699577958,1134.7298249028815
たい,たい,2000,鮮魚,1934351,1948511366,1007.3204738953789
たいはくちりめん,たいはくちりめん,2000,塩干,133596,150624060,1127.459355070511
たこ,たこ,2000,鮮魚,672508,541122400,804.6334021305323
たちうお,たちうお,2000,鮮魚,152378,101239168,664.3949126514326
たづくり,たづくり,2000,塩干,16189,16077453,993.1097041200816
ちくわ,ちくわ,2000,塩干,173400,123537487,712.4422549019608
つばす,つばす,2000,鮮魚,309902,78803333,254.28468677194726
とびうお,とびうお,2000,鮮魚,218142,69146639,316.97994425649347
どじょう,どじょう,2000,鮮魚,49416,72719125,1471.570442771572
なまこ,なまこ,2000,鮮魚,39445,59009497,1495.9943465584993
にぎす,にぎす,2000,鮮魚,269265,91452956,339.63922529849776
にしん,にしん,2000,鮮魚,17713,3406778,192.3320724891323
ぬか漬いわし,ぬか漬いわし,2000,塩干,60,100800,1680.0
ぬか漬にしん,ぬか漬にしん,2000,塩干,234,187165,799.8504273504274
ぬか漬ふぐ,ぬか漬ふぐ,2000,塩干,22,163905,7450.227272727273
はたはた,はたはた,2000,鮮魚,349466,195398846,559.1354981600499
はまぐり,はまぐり,2000,鮮魚,588520,305568440,519.2150479168083
はまち,はまち,2000,鮮魚,2936500,934283568,318.1622911629491
はむそーせーじ,ハムソーセージ,2000,塩干,12983,10132993,780.4816298236155
ばいがい,ばいがい,2000,鮮魚,531143,399808051,752.7314696795402
ひらまさ,ひらまさ,2000,鮮魚,103447,110792312,1071.005558401887
ひらめ,ひらめ,2000,鮮魚,353283,787112535,2227.9943699527007
ふぐ,ふぐ,2000,鮮魚,257508,160443084,623.0605806421548
ぶり,ぶり,2000,鮮魚,471745,571526485,1211.5157235370805
べにずわいがに,べにずわいがに,2000,鮮魚,167736,57826428,344.746673343826
ほうぼう,ほうぼう,2000,鮮魚,26358,10711563,406.38754837241066
ぼうたら,ぼうたら,2000,塩干,15007,52563210,3502.579462917305
ぼら,ぼら,2000,鮮魚,17862,2798550,156.6761840779308
まあじ,まあじ,2000,鮮魚,1921557,789572511,410.90246659349685
まいわし,まいわし,2000,鮮魚,1423882,473419519,332.48507881973364
