fish_key,fish_label,year,origin_pref,qty,amt,price,rank_in_fish_year
あからばちめ,あからばちめ,2000,北海道,325156,150503695,462.86611657173785,1
あからばちめ,あからばちめ,2000,石川県,114695,98006251,854.4945376869088,2
あからばちめ,あからばちめ,2000,新潟県,14332,9411360,656.6675969857661,3
あからばちめ,あからばちめ,2000,福井県,9276,5052810,544.7186287192756,4
あからばちめ,あからばちめ,2000,鳥取県,6518,4619160,708.6775084381712,5
あからばちめ,あからばちめ,2000,宮城県,942,1781326,1891.004246284501,6
あからばちめ,あからばちめ,2000,京都府,3064,1281630,418.28655352480416,7
あからばちめ,あからばちめ,2000,青森県,1543,696465,451.3707064160726,8
あからばちめ,あからばちめ,2000,山形県,2256,653100,289.49468085106383,9
あからばちめ,あからばちめ,2000,福島県,1038,551461,531.2726396917149,10
あさり,あさり,2000,愛知県,581498,200799485,345.31414553446444,1
あさり,あさり,2000,三重県,161313,46188675,286.32952706849414,2
あさり,あさり,2000,宮城県,81433,42309958,519.5677182469024,3
あさり,あさり,2000,広島県,67160,16699289,248.64932995830853,4
あさり,あさり,2000,石川県,24587,10859587,441.6800341643958,5
あさり,あさり,2000,兵庫県,13402,4248604,317.01268467392924,6
あさり,あさり,2000,千葉県,6779,3042627,448.8312435462458,7
あさり,あさり,2000,北海道,1741,1426740,819.4945433658817,8
あさり,あさり,2000,山口県,3144,878556,279.4389312977099,9
あさり,あさり,2000,大阪府,1120,534345,477.09375,10
あなご,あなご,2000,島根県,29886,25691408,859.6469249815967,1
あなご,あなご,2000,石川県,18294,13556430,741.0314857330272,2
あなご,あなご,2000,大阪府,9386,10487138,1117.3170679735777,3
あなご,あなご,2000,千葉県,7938,7910392,996.5220458553791,4
あなご,あなご,2000,福井県,11290,7281851,644.9823737821081,5
あなご,あなご,2000,兵庫県,5650,5663816,1002.4453097345133,6
あなご,あなご,2000,愛知県,4223,5097167,1207.0014207909069,7
あなご,あなご,2000,山口県,3797,3915329,1031.1638135370029,8
あなご,あなご,2000,福島県,3177,3616388,1138.3028013849544,9
あなご,あなご,2000,東京都,6013,2964260,492.97522035589554,10
あまえび,あまえび,2000,石川県,209614,399673597,1906.7123236043394,1
あまえび,あまえび,2000,北海道,157979,328030131,2076.4160489685337,2
あまえび,あまえび,2000,福井県,204565,293059653,1432.5991885219858,3
あまえび,あまえび,2000,山形県,14671,24874165,1695.4648626542157,4
あまえび,あまえび,2000,新潟県,9685,20998875,2168.1853381517813,5
あまえび,あまえび,2000,兵庫県,2700,3730227,1381.5655555555556,6
あまえび,あまえび,2000,富山県,1002,3612349,3605.13872255489,7
あまえび,あまえび,2000,鳥取県,2417,3359634,1390.0016549441457,8
あまえび,あまえび,2000,東京都,1391,2806755,2017.7965492451474,9
あまえび,あまえび,2000,青森県,365,522270,1430.876712328767,10
あゆ,あゆ,2000,徳島県,146051,157777453,1080.290124682474,1
あゆ,あゆ,2000,和歌山県,96265,115668848,1201.5670077390537,2
あゆ,あゆ,2000,兵庫県,20303,29878888,1471.6489188789833,3
あゆ,あゆ,2000,滋賀県,27882,26905473,964.9764364105874,4
あゆ,あゆ,2000,岐阜県,7345,18573189,2528.6846834581347,5
あゆ,あゆ,2000,高知県,10172,13129883,1290.786767597326,6
あゆ,あゆ,2000,富山県,6776,9322204,1375.7680047225501,7
あゆ,あゆ,2000,石川県,5854,8148334,1391.9258626580115,8
あゆ,あゆ,2000,静岡県,6921,7175459,1036.7662187545152,9
あゆ,あゆ,2000,宮崎県,6826,5593997,819.5131848813361,10
あら,あら,2000,石川県,7285,39616837,5438.13822923816,1
あら,あら,2000,東京都,25366,32934929,1298.3887487187574,2
あら,あら,2000,長崎県,9207,29710399,3226.935918323015,3
あら,あら,2000,大阪府,4111,8736104,2125.055704208222,4
あら,あら,2000,千葉県,5882,6780329,1152.7250935056104,5
あら,あら,2000,鹿児島県,1845,5923596,3210.621138211382,6
あら,あら,2000,高知県,912,4065522,4457.809210526316,7
あら,あら,2000,福島県,1282,1296904,1011.625585023401,8
あら,あら,2000,宮崎県,291,1246492,4283.477663230241,9
あら,あら,2000,福岡県,394,1042228,2645.248730964467,10
あわび,あわび,2000,宮城県,18905,176435576,9332.746680772283,1
あわび,あわび,2000,静岡県,8087,76917780,9511.28725114381,2
あわび,あわび,2000,千葉県,9272,50534640,5450.241587575496,3
あわび,あわび,2000,東京都,7151,45332779,6339.362187106698,4
あわび,あわび,2000,三重県,4613,34986800,7584.391935833514,5
あわび,あわび,2000,山口県,2335,17779473,7614.3353319057815,6
あわび,あわび,2000,兵庫県,4207,13170306,3130.569526978845,7
あわび,あわび,2000,石川県,1428,10851599,7599.158963585434,8
あわび,あわび,2000,大阪府,1587,10247066,6456.87838689351,9
あわび,あわび,2000,福岡県,3290,8615912,2618.818237082067,10
あんこう,あんこう,2000,石川県,69565,53737394,772.4774527420399,1
あんこう,あんこう,2000,東京都,7618,16696313,2191.692438960357,2
あんこう,あんこう,2000,山形県,6213,6754947,1087.2279092225979,3
あんこう,あんこう,2000,島根県,5101,5859525,1148.7012350519506,4
あんこう,あんこう,2000,福井県,6319,4455854,705.1517645197025,5
あんこう,あんこう,2000,兵庫県,3589,3244343,903.9685149066593,6
あんこう,あんこう,2000,大阪府,2260,2746886,1215.4362831858407,7
あんこう,あんこう,2000,千葉県,1247,2485980,1993.5685645549318,8
あんこう,あんこう,2000,新潟県,3834,1993953,520.0712050078247,9
あんこう,あんこう,2000,宮城県,1638,1429880,872.942612942613,10
いくら,いくら,2000,北海道,131891,741245925,5620.1403052520645,1
いくら,いくら,2000,石川県,44049,231776954,5261.79831551227,2
いくら,いくら,2000,東京都,35431,171466246,4839.4413366825665,3
いくら,いくら,2000,宮城県,14987,57653760,3846.9179955961836,4
いくら,いくら,2000,京都府,10456,44287940,4235.648431522571,5
いくら,いくら,2000,岩手県,5002,26556243,5309.124950019992,6
いくら,いくら,2000,新潟県,3177,13378103,4210.923197985521,7
いくら,いくら,2000,青森県,2628,10352113,3939.160197869102,8
いくら,いくら,2000,兵庫県,1819,10296014,5660.260582737768,9
いくら,いくら,2000,千葉県,1646,8863680,5384.98177399757,10
うなぎ,うなぎ,2000,愛知県,137924,161312797,1169.5774266987617,1
うなぎ,うなぎ,2000,静岡県,83362,105700088,1267.9648760826276,2
うなぎ,うなぎ,2000,東京都,20688,23809205,1150.87031129157,3
うなぎ,うなぎ,2000,徳島県,24450,19698000,805.6441717791411,4
うなぎ,うなぎ,2000,石川県,4284,3942590,920.3057889822595,5
うなぎ,うなぎ,2000,富山県,2324,2836016,1220.31669535284,6
うなぎ,うなぎ,2000,大阪府,1842,962052,522.28664495114,7
うなぎ,うなぎ,2000,愛媛県,121,415381,3432.900826446281,8
うなぎ,うなぎ,2000,高知県,28,222495,7946.25,9
うなぎ,うなぎ,2000,福岡県,39,205170,5260.7692307692305,10
うに,うに,2000,北海道,15471,243366947,15730.524659039493,1
うに,うに,2000,東京都,25037,162720301,6499.19323401366,2
うに,うに,2000,大阪府,19433,140356979,7222.60994185149,3
うに,うに,2000,宮城県,7800,55301420,7089.925641025641,4
うに,うに,2000,山口県,7880,52475525,6659.330583756345,5
うに,うに,2000,青森県,7191,37284517,5184.8862466972605,6
うに,うに,2000,千葉県,4581,22670910,4948.899803536346,7
うに,うに,2000,埼玉県,2866,10581961,3692.2404047452897,8
うに,うに,2000,石川県,3694,9999605,2706.9856524093125,9
うに,うに,2000,三重県,896,5961290,6653.225446428572,10
うに製品,うに製品,2000,北海道,11220,13445559,1198.3564171122994,1
うに製品,うに製品,2000,大阪府,3133,4455390,1422.0842642834343,2
うに製品,うに製品,2000,三重県,6663,4397820,660.0360198108959,3
うに製品,うに製品,2000,福井県,393,3298575,8393.320610687022,4
うに製品,うに製品,2000,山口県,1611,3286476,2040.022346368715,5
うに製品,うに製品,2000,石川県,348,1289295,3704.8706896551726,6
うに製品,うに製品,2000,兵庫県,547,1073814,1963.0968921389397,7
うに製品,うに製品,2000,愛知県,505,373804,740.2059405940594,8
うに製品,うに製品,2000,青森県,136,310800,2285.294117647059,9
うに製品,うに製品,2000,静岡県,70,138180,1974.0,10
うるめいわし,うるめいわし,2000,和歌山県,21919,3276421,149.47858022720015,1
うるめいわし,うるめいわし,2000,石川県,5447,855942,157.14007710666422,2
うるめいわし,うるめいわし,2000,静岡県,3003,756756,252.0,3
うるめいわし,うるめいわし,2000,千葉県,3764,725130,192.64877789585546,4
